LeftBreakpoint,RightBreakpoint,FFPM,LeftStrand,RightStrand,Total_Count_(SC+RC),Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Pattern,Splice_Site,Splice_Pattern_Class,Total_Mapped_Reads,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3
164418980,175802276,0.283943,+,+,8,Interchromosomal,Yes,No,InFrame,CG-CC,NonCanonicalPattern,28174672,1,1,M,M,164418924,164419763,839,175802070,175806400,4330,1,No,1,5
11564038,11242269,2.06031,+,-,51,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,24753525,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.29275,+,-,32,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,24753525,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
6279971,148937947,0.363585,+,-,9,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,24753525,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
33587191,206008968,0.161593,-,+,4,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,24753525,1,1,M,M,33585557,33587502,1945,206008252,206012276,4024,1,No,1,4
143804379,25480782,0.847903,+,+,20,Interchromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,23587600,3,2,E,S,143803041,143815396,12355,25479149,25481360,2211,1,No,10,3
224575945,175939687,0.720718,+,-,17,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,23587600,6,5,M,M,224573067,224576214,3147,175939332,175949107,9775,2,Yes,6,5
178375245,134951530,0.254371,+,+,6,Interchromosomal,Yes,Yes,InFrame,GT-AG,CanonicalPattern,23587600,1,2,E,S,178374985,178379549,4564,134951305,134952576,1271,1,No,5,4
220068283,219981559,1.18706,+,+,28,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,23587600,5,1,E,M,220063974,220076020,12046,219981543,219983203,1660,3,Yes,10,4
88328921,88210835,3.60359,-,+,85,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,23587600,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
143804379,25480782,1.00972,+,+,21,Interchromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,20797768,3,2,E,S,143803041,143815396,12355,25479149,25481360,2211,1,No,10,3
134570656,1185148,0.288492,-,-,6,Interchromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,20797768,1,4,S,E,134567737,134571146,3409,1181957,1187237,5280,3,Yes,8,12
224575945,175939687,0.384657,+,-,8,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,20797768,6,5,M,M,224573067,224576214,3147,175939332,175949107,9775,2,Yes,6,5
178375245,134951530,0.336575,+,+,7,Interchromosomal,Yes,Yes,InFrame,GT-AG,CanonicalPattern,20797768,1,2,E,S,178374985,178379549,4564,134951305,134952576,1271,1,No,5,4
220068283,219981559,1.53863,+,+,32,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,20797768,5,1,E,M,220063974,220076020,12046,219981543,219983203,1660,3,Yes,10,4
88328921,88210835,3.02917,-,+,63,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,20797768,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
16602799,256719298,0.511819,-,-,11,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,21491992,9,4,S,E,16601750,16617586,15836,256712433,256721805,9372,6,Yes,17,24
22215326,179433116,1.53546,+,-,33,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,21491992,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
16602799,256719298,0.583086,-,-,14,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,24010192,9,4,S,E,16601750,16617586,15836,256712433,256721805,9372,6,Yes,17,24
274384166,72738221,0.333192,+,-,8,Interchromosomal,No,Yes,InFrame,AT-AG,NonCanonicalPattern,24010192,1,2,M,M,274383766,274409275,25509,72729302,72738636,9334,1,No,8,3
22215326,179433116,1.33277,+,-,32,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,24010192,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
1591400,168184217,0.293763,-,+,6,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,20424661,1,2,S,S,1571478,1591655,20177,168179210,168220211,41001,1,No,17,11
303194318,153873539,0.129729,+,-,4,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30833417,1,2,E,E,303194132,303195002,870,153872188,153874466,2278,1,No,4,5
1591400,168184217,0.227026,-,+,7,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,30833417,1,2,S,S,1571478,1591655,20177,168179210,168220211,41001,1,No,17,11
16098607,16326149,0.291891,-,+,9,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30833417,6,14,M,S,16090658,16105425,14767,16311355,16327632,16277,1,No,7,15
11564038,11242269,2.05212,+,-,44,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,21441272,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
16098607,16326149,0.186556,-,+,4,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,21441272,6,14,M,S,16090658,16105425,14767,16311355,16327632,16277,1,No,7,15
118278393,167699286,0.373112,-,+,8,Interchromosomal,No,No,InFrame,GC-AG,CanonicalPattern,21441272,1,1,M,M,118277160,118279606,2446,167699229,167700791,1562,2,Yes,3,3
178375245,134951530,0.186556,+,+,4,Interchromosomal,Yes,Yes,InFrame,GT-AG,CanonicalPattern,21441272,1,2,E,S,178374985,178379549,4564,134951305,134952576,1271,1,No,5,4
11564038,11242269,2.39042,+,-,50,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,20916812,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
303132561,240451666,0.395807,+,-,12,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30317842,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,2.045,+,-,62,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30317842,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.35234,+,-,41,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,30317842,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
136110059,212988537,0.131936,+,-,4,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,30317842,1,6,M,E,136109201,136110262,1061,212986311,213003707,17396,2,Yes,1,13
303132561,240451666,0.398156,+,-,12,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30138922,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,2.09032,+,-,63,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30138922,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.22765,+,-,37,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,30138922,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
136110059,212988537,0.132719,+,-,4,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,30138922,1,6,M,E,136109201,136110262,1061,212986311,213003707,17396,2,Yes,1,13
88328921,88210835,2.50318,-,+,50,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,19974556,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
88328921,88210835,3.19702,-,+,59,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,18454667,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
11564038,11242269,2.2732,+,-,71,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,31233443,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
23958999,36195461,2.65741,+,-,83,Interchromosomal,No,Yes,InFrame,AC-AA,NonCanonicalPattern,31233443,17,7,M,M,23954465,23959087,4622,36194999,36202717,7718,2,Yes,17,7
42088684,12567216,0.32017,-,-,10,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,31233443,3,10,S,E,42088552,42089954,1402,12566874,12571003,4129,1,No,4,10
13118637,142892047,0.128068,-,+,4,Interchromosomal,No,Yes,FrameShift,GT-AG,CanonicalPattern,31233443,1,2,S,S,13113072,13119519,6447,142885283,142892638,7355,2,Yes,6,2
7739521,7791452,0.480254,-,-,15,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,31233443,6,7,M,E,7731972,7744293,12321,7787706,7795145,7439,2,Yes,10,11
88328921,88210835,3.9701,-,+,124,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,31233443,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
11564038,11242269,1.91691,+,-,70,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,36517191,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
23958999,36195461,2.84797,+,-,104,Interchromosomal,No,Yes,InFrame,AC-AA,NonCanonicalPattern,36517191,17,7,M,M,23954465,23959087,4622,36194999,36202717,7718,2,Yes,17,7
42088684,12567216,0.520303,-,-,19,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,36517191,3,10,S,E,42088552,42089954,1402,12566874,12571003,4129,1,No,4,10
7739521,7791452,0.684609,-,-,25,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,36517191,6,7,M,E,7731972,7744293,12321,7787706,7795145,7439,2,Yes,10,11
88328921,88210835,3.53258,-,+,129,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,36517191,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
209484461,273585849,0.353172,-,-,6,Interchromosomal,Yes,No,InFrame,CT-CC,NonCanonicalPattern,16988886,2,1,M,M,209484180,209488328,4148,273584512,273586069,1557,1,No,2,1
23958999,36195461,2.58993,+,-,44,Interchromosomal,No,Yes,InFrame,AC-AA,NonCanonicalPattern,16988886,17,7,M,M,23954465,23959087,4622,36194999,36202717,7718,2,Yes,17,7
22215326,179433116,1.76586,+,-,30,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,16988886,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
136110059,212988537,0.470896,+,-,8,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,16988886,1,6,M,E,136109201,136110262,1061,212986311,213003707,17396,2,Yes,1,13
88328921,88210835,2.41334,-,+,41,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,16988886,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
274384166,72738221,0.373498,+,-,10,Interchromosomal,No,Yes,InFrame,AT-AG,NonCanonicalPattern,26773879,1,2,M,M,274383766,274409275,25509,72729302,72738636,9334,1,No,8,3
11564038,11242269,2.16629,+,-,58,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,26773879,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.75544,+,-,47,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,26773879,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
6279971,148937947,0.821696,+,-,22,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,26773879,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
226036217,226029464,0.896396,+,+,24,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,26773879,9,7,E,S,226033584,226052526,18942,226021783,226029864,8081,5,Yes,12,7
274384166,72738221,0.495628,+,-,14,Interchromosomal,No,Yes,InFrame,AT-AG,NonCanonicalPattern,28246992,1,2,M,M,274383766,274409275,25509,72729302,72738636,9334,1,No,8,3
11564038,11242269,1.6993,+,-,48,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,28246992,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.30987,+,-,37,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,28246992,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
179433140,22215303,0.212412,-,+,6,Interchromosomal,No,Yes,InFrame,GC-TC,NonCanonicalPattern,28246992,3,2,M,M,179432071,179434295,2224,22214840,22216179,1339,7,Yes,4,2
6279971,148937947,0.920452,+,-,26,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,28246992,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
226036217,226029464,1.45148,+,+,41,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,28246992,9,7,E,S,226033584,226052526,18942,226021783,226029864,8081,5,Yes,12,7
303132561,240451666,2.13877,+,-,60,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,28053505,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,2.42394,+,-,68,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,28053505,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
182465528,182459680,0.534693,+,+,15,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,28053505,2,9,E,S,182465096,182475496,10400,182449947,182463761,13814,2,Yes,20,11
88328921,88210835,3.45768,-,+,97,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,28053505,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
303132561,240451666,1.66685,+,-,43,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,25797093,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,2.01573,+,-,52,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,25797093,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
182465528,182459680,0.736517,+,+,19,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,25797093,2,9,E,S,182465096,182475496,10400,182449947,182463761,13814,2,Yes,20,11
88328921,88210835,3.68259,-,+,95,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,25797093,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
11564038,11242269,4.92145,+,-,135,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,27430922,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
88328921,88210835,3.28097,-,+,90,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,27430922,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
11564038,11242269,3.9065,+,-,74,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,18942783,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
112548969,112533256,0.422324,+,+,8,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,18942783,5,11,E,S,112547322,112553108,5786,112526605,112536998,10393,3,Yes,17,21
136110059,212988537,0.263953,+,-,5,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,18942783,1,6,M,E,136109201,136110262,1061,212986311,213003707,17396,2,Yes,1,13
88328921,88210835,3.53697,-,+,67,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,18942783,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
113531423,241790980,0.519886,+,+,16,Interchromosomal,Yes,No,InFrame,GC-GA,NonCanonicalPattern,30775953,1,1,M,M,113531337,113532876,1539,241790563,241792537,1974,1,No,4,2
303132561,240451666,0.617365,+,-,19,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30775953,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,2.17702,+,-,67,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30775953,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,1.16974,+,-,36,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,30775953,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
179433140,22215303,0.22745,-,+,7,Interchromosomal,No,Yes,InFrame,GC-TC,NonCanonicalPattern,30775953,3,2,M,M,179432071,179434295,2224,22214840,22216179,1339,7,Yes,4,2
6279971,148937947,0.389915,+,-,12,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,30775953,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
220068283,219981559,0.877308,+,+,27,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,30775953,5,1,E,M,220063974,220076020,12046,219981543,219983203,1660,3,Yes,10,4
113531423,241790980,0.330908,+,+,10,Interchromosomal,Yes,No,InFrame,GC-GA,NonCanonicalPattern,30219906,1,1,M,M,113531337,113532876,1539,241790563,241792537,1974,1,No,4,2
303132561,240451666,0.562543,+,-,17,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30219906,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,1.95236,+,-,59,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30219906,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
22215326,179433116,0.992723,+,-,30,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,30219906,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
179433138,22215305,0.330908,-,+,10,Interchromosomal,No,Yes,InFrame,GA-GC,NonCanonicalPattern,30219906,3,2,M,M,179432071,179434295,2224,22214840,22216179,1339,7,Yes,4,2
6279971,148937947,1.52218,+,-,46,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,30219906,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
42088684,12567216,0.562543,-,-,17,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,30219906,3,10,S,E,42088552,42089954,1402,12566874,12571003,4129,1,No,4,10
18008108,17960540,0.132363,+,+,4,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,30219906,8,8,M,S,18005272,18011145,5873,17953646,17961010,7364,2,Yes,17,7
220068283,219981559,0.397089,+,+,12,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,30219906,5,1,E,M,220063974,220076020,12046,219981543,219983203,1660,3,Yes,10,4
6279971,148937947,0.358478,+,-,8,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,22316554,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
88328921,88210835,3.27111,-,+,73,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,22316554,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
6279971,148937947,0.618618,+,-,20,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,32330138,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
88328921,88210835,3.34054,-,+,108,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,32330138,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
274384166,72738221,0.407934,+,-,6,Interchromosomal,No,Yes,InFrame,AT-AG,NonCanonicalPattern,14708247,1,2,M,M,274383766,274409275,25509,72729302,72738636,9334,1,No,8,3
22215326,179433116,1.49576,+,-,22,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,14708247,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
13716239,127175327,0.407934,-,-,6,Interchromosomal,Yes,No,InFrame,GC-AG,CanonicalPattern,14708247,2,2,S,M,13715219,13719719,4500,127160226,127175764,15538,2,Yes,4,5
16098607,16326149,0.136722,-,+,4,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,29256415,6,14,M,S,16090658,16105425,14767,16311355,16327632,16277,1,No,7,15
22215326,179433116,1.0596,+,-,31,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,29256415,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4
179433140,22215303,0.170903,-,+,5,Interchromosomal,No,Yes,InFrame,GC-TC,NonCanonicalPattern,29256415,3,2,M,M,179432071,179434295,2224,22214840,22216179,1339,7,Yes,4,2
6279971,148937947,0.239264,+,-,7,Interchromosomal,No,No,InFrame,TT-TG,NonCanonicalPattern,29256415,2,6,M,M,6279708,6280173,465,148937916,148943149,5233,2,Yes,3,6
13716239,127175327,0.136722,-,-,4,Interchromosomal,Yes,No,InFrame,GC-AG,CanonicalPattern,29256415,2,2,S,M,13715219,13719719,4500,127160226,127175764,15538,2,Yes,4,5
303132561,240451666,0.821555,+,-,16,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,19475252,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,2.7214,+,-,53,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,19475252,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
224575945,175939687,0.564819,+,-,11,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,19475252,6,5,M,M,224573067,224576214,3147,175939332,175949107,9775,2,Yes,6,5
67417664,146026827,1.28368,+,-,25,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,19475252,22,2,E,E,67393067,67424358,31291,146020322,146027329,7007,1,No,33,8
52397029,22896610,0.359431,+,-,7,Interchromosomal,No,No,InFrame,AG-CT,NonCanonicalPattern,19475252,1,1,M,M,52396879,52397849,970,22891546,22897045,5499,3,Yes,1,4
88328921,88210835,5.5455,-,+,108,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,19475252,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
303132561,240451666,1.67733,+,-,40,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,23847454,1,1,E,M,303132398,303134412,2014,240450534,240452106,1572,1,No,3,3
11564038,11242269,2.30633,+,-,55,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,23847454,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
224575945,175939687,0.419332,+,-,10,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,23847454,6,5,M,M,224573067,224576214,3147,175939332,175949107,9775,2,Yes,6,5
67417664,146026827,0.754798,+,-,18,Interchromosomal,No,No,InFrame,GT-AG,CanonicalPattern,23847454,22,2,E,E,67393067,67424358,31291,146020322,146027329,7007,1,No,33,8
88328921,88210835,4.40299,-,+,105,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,23847454,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
11564038,11242269,1.95491,+,-,57,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,29157317,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
133773152,222088326,0.137187,-,+,4,Intrachromosomal,No,No,InFrame,TG-TG,NonCanonicalPattern,29157317,1,2,M,M,133772518,133773726,1208,222086026,222091136,5110,3,Yes,1,4
217958499,217947800,0.20578,+,+,6,Intrachromosomal,Yes,No,InFrame,TT-TC,NonCanonicalPattern,29157317,5,6,M,M,217953019,217965311,12292,217945088,217952353,7265,1,No,1,13
239334320,239346848,2.91522,-,-,85,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,29157317,7,7,S,E,239326471,239337775,11304,239339326,239352162,12836,8,Yes,10,19
224575945,175939687,0.480154,+,-,14,Interchromosomal,No,No,FrameShift,GT-AG,CanonicalPattern,29157317,6,5,M,M,224573067,224576214,3147,175939332,175949107,9775,2,Yes,6,5
13118637,142892047,0.137187,-,+,4,Interchromosomal,No,Yes,FrameShift,GT-AG,CanonicalPattern,29157317,1,2,S,S,13113072,13119519,6447,142885283,142892638,7355,2,Yes,6,2
167471899,167435864,0.411561,+,+,12,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,29157317,4,9,E,S,167468812,167473235,4423,167432738,167447908,15170,3,Yes,7,18
88328921,88210835,5.59036,-,+,163,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,29157317,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2
11564038,11242269,1.33591,+,-,36,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,26947844,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5
217958499,217947800,0.408196,+,+,11,Intrachromosomal,Yes,No,InFrame,TT-TC,NonCanonicalPattern,26947844,5,6,M,M,217953019,217965311,12292,217945088,217952353,7265,1,No,1,13
