LeftBreakpoint,RightBreakpoint,FFPM,Total_Count_(SC+RC),Splice_Site,Total_Mapped_Reads,Left_Exon,Right_Exon,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,exon_count5,exon_count3,LeftStrand_+,LeftStrand__,RightStrand__,RightStrand_+,Chromosome_Feature_Interchromosomal,Chromosome_Feature_Intrachromosomal,Same_Strand_No,Same_Strand_Yes,Reciprocal_Fusion_Yes,Reciprocal_Fusion_No,Splice_Pattern_InFrame,Splice_Pattern_FrameShift,Splice_Pattern_Unknown,Splice_Pattern_Class_CanonicalPattern,Splice_Pattern_Class_NonCanonicalPattern,5_loc_M,5_loc_S,5_loc_E,5_loc_O,3_loc_M,3_loc_S,3_loc_E,3_loc_O,alternative_junction_Yes,alternative_junction_No
11564038,11242269,2.39042,50.0,0,20916812.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
303132561,240451666,0.395807,12.0,0,30317842.0,1.0,1.0,303132398.0,303134412.0,2014.0,240450534.0,240452106.0,1572.0,1,3,3,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
11564038,11242269,2.045,62.0,0,30317842.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.35234,41.0,0,30317842.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
136110059,212988537,0.131936,4.0,0,30317842.0,1.0,6.0,136109201.0,136110262.0,1061.0,212986311.0,213003707.0,17396.0,2,1,13,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
303132561,240451666,0.398156,12.0,0,30138922.0,1.0,1.0,303132398.0,303134412.0,2014.0,240450534.0,240452106.0,1572.0,1,3,3,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
11564038,11242269,2.09032,63.0,0,30138922.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.22765,37.0,0,30138922.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
136110059,212988537,0.132719,4.0,0,30138922.0,1.0,6.0,136109201.0,136110262.0,1061.0,212986311.0,213003707.0,17396.0,2,1,13,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
88328921,88210835,2.50318,50.0,0,19974556.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
88328921,88210835,3.19702,59.0,0,18454667.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
11564038,11242269,2.2732,71.0,0,31233443.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
23958999,36195461,2.65741,83.0,6,31233443.0,17.0,7.0,23954465.0,23959087.0,4622.0,36194999.0,36202717.0,7718.0,2,17,7,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
42088684,12567216,0.32017,10.0,0,31233443.0,3.0,10.0,42088552.0,42089954.0,1402.0,12566874.0,12571003.0,4129.0,1,4,10,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
13118637,142892047,0.128068,4.0,0,31233443.0,1.0,2.0,13113072.0,13119519.0,6447.0,142885283.0,142892638.0,7355.0,2,6,2,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
7739521,7791452,0.480254,15.0,0,31233443.0,6.0,7.0,7731972.0,7744293.0,12321.0,7787706.0,7795145.0,7439.0,2,10,11,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
88328921,88210835,3.9701,124.0,0,31233443.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
11564038,11242269,1.91691,70.0,0,36517191.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
23958999,36195461,2.84797,104.0,6,36517191.0,17.0,7.0,23954465.0,23959087.0,4622.0,36194999.0,36202717.0,7718.0,2,17,7,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
42088684,12567216,0.520303,19.0,0,36517191.0,3.0,10.0,42088552.0,42089954.0,1402.0,12566874.0,12571003.0,4129.0,1,4,10,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
7739521,7791452,0.684609,25.0,0,36517191.0,6.0,7.0,7731972.0,7744293.0,12321.0,7787706.0,7795145.0,7439.0,2,10,11,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
88328921,88210835,3.53258,129.0,0,36517191.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
209484461,273585849,0.353172,6.0,1,16988886.0,2.0,1.0,209484180.0,209488328.0,4148.0,273584512.0,273586069.0,1557.0,1,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
23958999,36195461,2.58993,44.0,6,16988886.0,17.0,7.0,23954465.0,23959087.0,4622.0,36194999.0,36202717.0,7718.0,2,17,7,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
22215326,179433116,1.76586,30.0,0,16988886.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
136110059,212988537,0.470896,8.0,0,16988886.0,1.0,6.0,136109201.0,136110262.0,1061.0,212986311.0,213003707.0,17396.0,2,1,13,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
88328921,88210835,2.41334,41.0,0,16988886.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
274384166,72738221,0.373498,10.0,4,26773879.0,1.0,2.0,274383766.0,274409275.0,25509.0,72729302.0,72738636.0,9334.0,1,8,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
11564038,11242269,2.16629,58.0,0,26773879.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.75544,47.0,0,26773879.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
6279971,148937947,0.821696,22.0,2,26773879.0,2.0,6.0,6279708.0,6280173.0,465.0,148937916.0,148943149.0,5233.0,2,3,6,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
226036217,226029464,0.896396,24.0,0,26773879.0,9.0,7.0,226033584.0,226052526.0,18942.0,226021783.0,226029864.0,8081.0,5,12,7,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
274384166,72738221,0.495628,14.0,4,28246992.0,1.0,2.0,274383766.0,274409275.0,25509.0,72729302.0,72738636.0,9334.0,1,8,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
11564038,11242269,1.6993,48.0,0,28246992.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.30987,37.0,0,28246992.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
179433140,22215303,0.212412,6.0,7,28246992.0,3.0,2.0,179432071.0,179434295.0,2224.0,22214840.0,22216179.0,1339.0,7,4,2,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
6279971,148937947,0.920452,26.0,2,28246992.0,2.0,6.0,6279708.0,6280173.0,465.0,148937916.0,148943149.0,5233.0,2,3,6,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
226036217,226029464,1.45148,41.0,0,28246992.0,9.0,7.0,226033584.0,226052526.0,18942.0,226021783.0,226029864.0,8081.0,5,12,7,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
303132561,240451666,2.13877,60.0,0,28053505.0,1.0,1.0,303132398.0,303134412.0,2014.0,240450534.0,240452106.0,1572.0,1,3,3,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
11564038,11242269,2.42394,68.0,0,28053505.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
182465528,182459680,0.534693,15.0,0,28053505.0,2.0,9.0,182465096.0,182475496.0,10400.0,182449947.0,182463761.0,13814.0,2,20,11,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
88328921,88210835,3.45768,97.0,0,28053505.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
303132561,240451666,1.66685,43.0,0,25797093.0,1.0,1.0,303132398.0,303134412.0,2014.0,240450534.0,240452106.0,1572.0,1,3,3,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
11564038,11242269,2.01573,52.0,0,25797093.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
182465528,182459680,0.736517,19.0,0,25797093.0,2.0,9.0,182465096.0,182475496.0,10400.0,182449947.0,182463761.0,13814.0,2,20,11,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
88328921,88210835,3.68259,95.0,0,25797093.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
11564038,11242269,4.92145,135.0,0,27430922.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
88328921,88210835,3.28097,90.0,0,27430922.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
11564038,11242269,3.9065,74.0,0,18942783.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
112548969,112533256,0.422324,8.0,0,18942783.0,5.0,11.0,112547322.0,112553108.0,5786.0,112526605.0,112536998.0,10393.0,3,17,21,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
136110059,212988537,0.263953,5.0,0,18942783.0,1.0,6.0,136109201.0,136110262.0,1061.0,212986311.0,213003707.0,17396.0,2,1,13,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
88328921,88210835,3.53697,67.0,0,18942783.0,1.0,1.0,88315712.0,88329135.0,13423.0,88210648.0,88214383.0,3735.0,2,11,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
113531423,241790980,0.519886,16.0,8,30775953.0,1.0,1.0,113531337.0,113532876.0,1539.0,241790563.0,241792537.0,1974.0,1,4,2,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
303132561,240451666,0.617365,19.0,0,30775953.0,1.0,1.0,303132398.0,303134412.0,2014.0,240450534.0,240452106.0,1572.0,1,3,3,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
11564038,11242269,2.17702,67.0,0,30775953.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,1.16974,36.0,0,30775953.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
179433140,22215303,0.22745,7.0,7,30775953.0,3.0,2.0,179432071.0,179434295.0,2224.0,22214840.0,22216179.0,1339.0,7,4,2,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
6279971,148937947,0.389915,12.0,2,30775953.0,2.0,6.0,6279708.0,6280173.0,465.0,148937916.0,148943149.0,5233.0,2,3,6,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
220068283,219981559,0.877308,27.0,0,30775953.0,5.0,1.0,220063974.0,220076020.0,12046.0,219981543.0,219983203.0,1660.0,3,10,4,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
113531423,241790980,0.330908,10.0,8,30219906.0,1.0,1.0,113531337.0,113532876.0,1539.0,241790563.0,241792537.0,1974.0,1,4,2,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
303132561,240451666,0.562543,17.0,0,30219906.0,1.0,1.0,303132398.0,303134412.0,2014.0,240450534.0,240452106.0,1572.0,1,3,3,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
11564038,11242269,1.95236,59.0,0,30219906.0,1.0,2.0,11563544.0,11568791.0,5247.0,11238776.0,11248239.0,9463.0,3,3,5,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
22215326,179433116,0.992723,30.0,0,30219906.0,2.0,3.0,22214840.0,22216179.0,1339.0,179432071.0,179434295.0,2224.0,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
179433138,22215305,0.330908,10.0,9,30219906.0,3.0,2.0,179432071.0,179434295.0,2224.0,22214840.0,22216179.0,1339.0,7,4,2,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
6279971,148937947,1.52218,46.0,2,30219906.0,2.0,6.0,6279708.0,6280173.0,465.0,148937916.0,148943149.0,5233.0,2,3,6,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
42088684,12567216,0.562543,17.0,0,30219906.0,3.0,10.0,42088552.0,42089954.0,1402.0,12566874.0,12571003.0,4129.0,1,4,10,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
18008108,17960540,0.132363,4.0,0,30219906.0,8.0,8.0,18005272.0,18011145.0,5873.0,17953646.0,17961010.0,7364.0,2,17,7,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
220068283,219981559,0.397089,12.0,0,30219906.0,5.0,1.0,220063974.0,220076020.0,12046.0,219981543.0,219983203.0,1660.0,3,10,4,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
