LeftBreakpoint,RightBreakpoint,FFPM,Total_Count_(SC+RC),Splice_Site,Total_Mapped_Reads,Left_Exon,Right_Exon,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,exon_count5,exon_count3,LeftStrand__,LeftStrand_+,RightStrand__,RightStrand_+,Chromosome_Feature_Intrachromosomal,Chromosome_Feature_Interchromosomal,Same_Strand_Yes,Same_Strand_No,Reciprocal_Fusion_No,Reciprocal_Fusion_Yes,Splice_Pattern_FrameShift,Splice_Pattern_InFrame,Splice_Pattern_Unknown,Splice_Pattern_Class_CanonicalPattern,Splice_Pattern_Class_NonCanonicalPattern,5_loc_S,5_loc_E,5_loc_M,3_loc_E,3_loc_S,3_loc_M,3_loc_O,alternative_junction_Yes,alternative_junction_No
13573491,13591228,0.8224,3.0,0,3647860,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
24615723,21342827,2.4862,5.0,0,2011101,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
26235779,24840620,1.86,4.0,1,2150538,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
4621623,4622391,0.6095,3.0,9,4922067,8,1.0,4618545,4621722,3177,4622122,4622752,630,1,8,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
13573491,13591228,0.7602,3.0,0,3946330,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
19537529,10081731,0.7099,4.0,0,5634596,3,2.0,19537090,19538820,1730,10079998,10082057,2059,1,6,6,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
8132177,10205630,0.5069,2.0,10,3945551,3,1.0,8129979,8133301,3322,10204802,10206522,1720,2,11,4,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
24615723,21342827,3.2626,13.0,0,3984552,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
7207089,6853232,0.51,2.0,0,3921569,8,2.0,7201522,7209692,8170,6851184,6853912,2728,3,16,10,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
1605816,1599614,0.7623,3.0,0,3935459,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
19752428,12655818,0.5019,2.0,0,3984858,2,4.0,19750047,19753280,3233,12654927,12656605,1678,1,10,5,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
22309259,22314366,0.2043,3.0,7,14684288,6,7.0,22308478,22311377,2899,22314089,22317070,2981,4,6,7,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
19537529,10081731,0.7571,3.0,0,3962488,3,2.0,19537090,19538820,1730,10079998,10082057,2059,1,6,6,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
13574031,13590501,1.5398,2.0,0,1298870,5,5.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
17449747,18542373,0.7587,3.0,0,3954132,6,2.0,17446818,17450742,3924,18542060,18542690,630,2,7,2,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
1605816,1599614,0.7564,3.0,0,3966156,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
23445599,23439653,0.8183,2.0,0,2444091,5,2.0,23444203,23446355,2152,23438396,23441060,2664,1,7,3,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1605816,1599614,0.99,7.0,0,7070707,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
26235779,24840620,4.0168,28.0,1,6970723,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
4434130,4378409,0.3429,4.0,11,11665209,2,2.0,4433047,4435305,2258,4377097,4379575,2478,3,8,3,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
21268380,21270720,0.758,3.0,0,3957784,3,21.0,21268194,21269031,837,21269149,21276017,6868,1,3,26,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
17462369,19721654,1.5606,46.0,12,29475843,6,9.0,17459873,17462516,2643,19721465,19723307,1842,3,6,9,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13573491,13591228,0.7651,3.0,0,3921056,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
10639368,17767793,1.5412,4.0,0,2595380,2,3.0,10638878,10640941,2063,17767050,17768379,1329,1,7,6,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
22309259,22314366,0.5063,2.0,7,3950227,6,7.0,22308478,22311377,2899,22314089,22317070,2981,4,6,7,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13670988,13853795,0.0671,2.0,13,29806259,19,1.0,13666396,13671754,5358,13853699,13856297,2598,3,19,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
24615723,21342827,2.4056,7.0,0,2909877,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
15932580,15929504,0.2246,2.0,14,8904720,1,2.0,15932134,15932748,614,15927939,15929839,1900,1,1,2,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
1605816,1599614,1.0159,10.0,0,9843489,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
26513726,13589638,1.7775,7.0,0,3938115,10,2.0,26513262,26515800,2538,13588948,13593662,4714,2,10,16,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
24615723,21342827,1.568,5.0,0,3188776,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
18149839,29883500,2.7109,7.0,0,2582168,2,16.0,18149197,18151295,2098,29882121,29887414,5293,1,5,20,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
13884191,21648537,0.0764,2.0,15,26178011,2,1.0,13883167,13885063,1896,21647821,21649567,1746,8,3,3,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
17449747,18542373,0.7754,3.0,0,3868971,6,2.0,17446818,17450742,3924,18542060,18542690,630,2,7,2,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
26235779,24840620,1.7633,7.0,1,3969829,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
17449747,18542373,1.012,4.0,0,3952569,6,2.0,17446818,17450742,3924,18542060,18542690,630,2,7,2,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
21268380,21270720,0.7643,3.0,0,3925160,3,21.0,21268194,21269031,837,21269149,21276017,6868,1,3,26,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1605816,1599614,1.2664,5.0,0,3948200,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
13884184,21648530,0.0681,2.0,6,29368576,2,1.0,13883167,13885063,1896,21647821,21649567,1746,8,3,3,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13573491,13591228,0.5077,2.0,0,3939334,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
17449747,18542373,1.0796,4.0,0,3705076,6,2.0,17446818,17450742,3924,18542060,18542690,630,2,7,2,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
24615723,21342827,2.4383,9.0,0,3691096,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
9077254,943039,0.5061,2.0,0,3951788,1,2.0,9076107,9077379,1272,941062,943377,2315,2,3,10,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
24615723,21342827,1.1106,9.0,0,8103728,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
17462368,19721655,0.6531,2.0,16,3062318,6,9.0,17459873,17462516,2643,19721465,19723307,1842,3,6,9,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
24615723,21342827,0.4602,4.0,0,8691873,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
24615723,21342827,3.4526,21.0,0,6082373,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
24615723,21342827,2.4602,7.0,0,2845297,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
1605816,1599614,1.0051,4.0,0,3979704,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
1874829,7216619,0.5156,2.0,17,3878976,4,2.0,1873624,1875660,2036,7214577,7216715,2138,1,6,2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
25619156,25059179,0.7574,3.0,0,3960919,5,9.0,25618606,25620223,1617,25056025,25062670,6645,1,7,20,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
26235779,24840620,1.5567,6.0,1,3854307,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
21268380,21270720,1.0069,4.0,0,3972589,3,21.0,21268194,21269031,837,21269149,21276017,6868,1,3,26,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
11465197,11459003,0.4585,4.0,0,8724100,1,3.0,11464934,11469207,4273,11456802,11463896,7094,2,10,12,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
26513726,13589638,3.4397,4.0,0,1162892,10,2.0,26513262,26515800,2538,13588948,13593662,4714,2,10,16,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
19537529,10081731,1.2699,5.0,0,3937318,3,2.0,19537090,19538820,1730,10079998,10082057,2059,1,6,6,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
24615723,21342660,0.5075,2.0,0,3940887,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
22309259,22314366,0.3139,4.0,7,12742912,6,7.0,22308478,22311377,2899,22314089,22317070,2981,4,6,7,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
16860569,16873544,1.0097,4.0,0,3961573,3,6.0,16855500,16861529,6029,16871578,16874367,2789,1,23,7,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1605816,1599614,0.6757,4.0,0,5919787,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
1605816,1599614,0.5076,2.0,0,3940110,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
1605816,1599614,1.0677,2.0,0,1873185,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
26235522,24840566,1.97,3.0,18,1522843,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1605816,1599614,0.5067,2.0,0,3947109,9,3.0,1603359,1606243,2884,1598449,1601437,2988,2,10,11,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
18848095,6094099,0.5057,2.0,4,3954914,9,3.0,18842553,18849741,7188,6092682,6095080,2398,1,11,9,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
22309259,22314366,0.5056,2.0,7,3955696,6,7.0,22308478,22311377,2899,22314089,22317070,2981,4,6,7,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
7535404,7483288,3.0559,12.0,0,3926830,6,1.0,7533946,7536496,2550,7483159,7483861,702,3,9,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
26235779,24840620,1.883,5.0,1,2655337,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13884192,21648538,0.1526,2.0,3,13106160,2,1.0,13883167,13885063,1896,21647821,21649567,1746,8,3,3,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13573491,13591228,1.2821,4.0,0,3119881,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
24615723,21342827,2.0108,8.0,0,3978516,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
2361678,5045312,4.3353,3.0,0,691994,2,3.0,2359114,2362375,3261,5042240,5045556,3316,1,5,3,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
16353052,15890850,0.5349,5.0,0,9347542,4,4.0,16342728,16353898,11170,15888840,15891988,3148,1,16,11,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
17203708,8587556,0.5063,2.0,0,3950227,1,3.0,17203010,17204346,1336,8586335,8588180,1845,1,2,5,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
13573491,13591228,0.7373,2.0,0,2712600,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
13884192,21648538,1.266,5.0,3,3949447,2,1.0,13883167,13885063,1896,21647821,21649567,1746,8,3,3,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
6255558,6249560,0.758,3.0,19,3957784,3,1.0,6254094,6255734,1640,6248619,6254080,5461,1,3,13,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
26235779,24840620,1.75,7.0,1,4000000,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
21269379,21268452,2.14,7.0,20,3271028,26,3.0,21269149,21276017,6868,21268194,21269031,837,1,26,3,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
25619156,25059179,1.7031,15.0,0,8807469,5,9.0,25618606,25620223,1617,25056025,25062670,6645,1,7,20,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
24615723,21342827,0.7864,3.0,0,3814853,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
26235781,24840622,5.3775,21.0,7,3905160,1,4.0,26235071,26238542,3471,24839090,24840806,1716,10,6,4,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
13573491,13591228,1.0405,4.0,0,3844306,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
11465197,11459003,0.5158,2.0,0,3877472,1,3.0,11464934,11469207,4273,11456802,11463896,7094,2,10,12,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
24615723,21342827,2.0443,7.0,0,3424155,1,2.0,24615253,24620053,4800,21339274,21343965,4691,2,11,14,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
5045410,2360278,2.5276,10.0,0,3956322,3,3.0,5042240,5045556,3316,2359114,2362375,3261,1,3,5,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
10836510,10859913,0.7619,3.0,0,3937525,15,2.0,10835735,10840872,5137,10858232,10860322,2090,2,16,7,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
13573491,13591228,0.5113,2.0,0,3911598,7,7.0,13572885,13575639,2754,13588948,13593662,4714,3,11,16,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
