LeftBreakpoint,RightBreakpoint,LeftStrand,RightStrand,Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Site,Splice_Pattern_Class,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3,label
87656899,87797596,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,15,5,E,E,87515468,87736329,220862,87797358,87813575,16218,1,No,48,5,1
2834562,244601070,-,-,Interchromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,2,S,E,2767739,2883959,116221,244571796,244615413,43618,1,No,4,13,1
78781113,52258701,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,16,2,E,E,78730518,78793798,63281,52230222,52263958,33737,1,No,22,12,1
236403493,72936071,+,+,Interchromosomal,Yes,No,GT-GG,NonCanonicalPattern,1,7,E,S,236402736,237034127,631392,72666529,73059422,392894,1,No,18,19,1
58166911,96418325,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,2,4,E,E,58166383,58176324,9942,96394611,96429365,34755,1,No,4,19,1
42397374,42373101,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,7,4,E,S,42387267,42411604,24338,42363988,42375484,11497,1,No,28,6,1
134296492,134488843,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,4,S,E,134249414,134309547,60134,134467091,134584183,117093,1,No,16,10,1
204328822,204589346,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,3,S,E,204187981,204329044,141064,204586301,204654597,68297,1,No,23,3,1
76093026,76054369,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,2,1,E,S,76090972,76135312,44341,76026841,76071388,44548,1,No,11,8,1
21838009,9766851,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,5,5,E,E,21802635,21865970,63336,8314246,10612509,2298264,1,No,8,45,1
68800121,34263462,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,2,3,E,E,68788119,68850133,62015,34255997,34360441,104445,1,No,9,5,1
78987751,150911277,-,+,Intrachromosomal,No,No,AG-GA,NonCanonicalPattern,2,14,S,S,78646390,79639061,992672,150804676,151151810,347135,1,No,29,43,1
60613698,38240088,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,7,5,E,S,60556386,60692842,136457,38219063,38250120,31058,1,No,22,10,1
21906136,28824491,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,7,3,E,S,21823102,22032554,209453,28821427,28909925,88499,1,No,22,13,1
138286221,86067859,-,+,Intrachromosomal,No,No,GG-GA,NonCanonicalPattern,2,8,S,S,137713734,138287185,573452,85403455,86087605,684151,1,No,7,12,1
69925836,69202988,+,+,Intrachromosomal,Yes,Yes,GT-GG,NonCanonicalPattern,4,2,E,S,69864129,69973562,109434,69201971,69239212,37242,1,No,10,11,1
51258547,33042288,-,+,Intrachromosomal,No,No,GG-GA,NonCanonicalPattern,4,9,S,S,51083909,51384515,300607,32997005,33046543,49539,1,No,13,10,1
1303341,10533775,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,37,S,E,1247834,1303556,55723,10531843,10560615,28773,1,No,7,41,1
15055296,73857208,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,4,10,E,E,14989236,15090780,101545,73856278,73975694,119417,1,No,15,10,1
180601406,62259303,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,1,5,E,E,180601146,180859415,258270,62201016,62314332,113317,1,No,15,6,1
724899,532942,+,+,Intrachromosomal,Yes,No,GT-GT,NonCanonicalPattern,3,13,E,S,699573,764428,64856,492989,533320,40332,1,No,11,13,1
98241693,35721279,-,+,Intrachromosomal,No,No,GG-GG,NonCanonicalPattern,1,2,S,S,98234317,98241910,7594,35683849,35835988,152140,1,No,5,6,1
79773408,224009069,-,-,Interchromosomal,Yes,No,GG-AG,NonCanonicalPattern,11,2,S,E,79735894,79789259,53366,223967595,224033674,66080,1,No,31,18,1
76171131,76187051,-,+,Intrachromosomal,No,No,GG-GG,NonCanonicalPattern,6,2,S,S,76170160,76183285,13126,76183398,76203782,20385,1,No,7,11,1
166300680,39574083,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,1,3,E,E,166300097,166419482,119386,39552550,39640481,87932,1,No,9,5,1
2059525,19702675,-,+,Intrachromosomal,No,No,GG-GT,NonCanonicalPattern,3,29,S,S,2047768,2059763,11996,19567040,19712444,145405,1,No,14,31,1
16350015,4312702,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,11,2,E,E,16326389,16388667,62279,4307187,4323001,15815,1,No,31,7,1
33231261,33273164,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,17,4,S,E,33218049,33239662,21614,33267471,33281989,14519,1,No,20,5,1
115894672,117885068,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,10,5,S,E,115881974,115934364,52391,117816436,118033126,216691,1,No,16,10,1
115292442,7568149,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,2,5,S,S,115259537,115300671,41135,6069132,7763340,1694209,1,No,20,16,1
31132349,24750007,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,13,5,E,E,31092142,31146311,54170,24737974,24797639,59666,1,No,16,9,1
114598409,114611303,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,6,S,E,114546527,114598569,52043,114602885,114632458,29574,1,No,9,10,1
57894305,58109543,+,+,Intrachromosomal,Yes,No,GT-GT,NonCanonicalPattern,10,6,E,S,57881851,57910433,28583,58087886,58115340,27455,2,Yes,21,14,1
43438816,19871774,-,-,Interchromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,2,S,E,43380449,43438912,58464,19808749,19881129,72381,1,No,6,15,1
36386882,36395536,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,9,5,S,E,36379143,36391552,12410,36395303,36399186,3884,1,No,12,5,1
43708422,42598193,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,12,2,E,S,43619799,43717354,97556,42539728,42648524,108797,1,No,17,9,1
39616559,38150737,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,1,12,E,E,39616420,39670046,53627,38128423,38186788,58366,1,No,10,15,1
42866283,39817544,-,-,Intrachromosomal,Yes,Yes,AG-AG,NonCanonicalPattern,3,4,S,E,42836478,42880085,43608,39751949,40033704,281756,4,Yes,14,11,1
89599044,85682158,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,9,2,E,S,89574805,89624174,49370,85645029,85709812,64784,1,No,17,15,1
51995026,52130728,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,3,10,S,E,51991474,52001469,9996,52109270,52188420,79151,1,No,13,11,1
136677043,52448111,+,+,Interchromosomal,Yes,No,GT-GA,NonCanonicalPattern,1,3,E,S,136676707,136729920,53214,52445191,52453287,8097,1,No,7,8,1
67562817,67375860,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,1,2,E,S,67562754,67580689,17936,67360747,67419101,58355,1,No,22,14,1
82868673,66974981,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,1,6,E,S,82868137,82896836,28700,66887498,67025141,137644,1,No,16,21,1
2737046,14522410,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,4,S,E,2732522,2740074,7553,14519631,14530171,10541,1,No,3,11,1
59409567,57578355,+,+,Intrachromosomal,Yes,No,GT-GT,NonCanonicalPattern,7,20,E,S,59397320,59417244,19925,57210833,57580716,369884,1,No,9,20,1
19140844,21201725,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,1,4,E,S,19140690,19240028,99339,21187968,21218552,30585,1,No,11,14,1
22462355,123239535,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,2,18,M,E,22460646,22462841,2196,123237844,123357972,120129,1,No,2,18,1
126110939,126275991,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,4,2,E,S,126081619,126132541,50923,126226096,126284533,58438,1,No,9,11,1
111329340,111493898,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,7,2,E,S,111303291,111346794,43504,111408781,111544608,135828,1,No,10,6,1
8442375,191863034,-,-,Interchromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,8,S,E,8368009,8442452,74444,191833762,191878976,45215,1,No,18,23,1
88190120,38968422,-,-,Intrachromosomal,Yes,No,AG-AG,NonCanonicalPattern,1,4,M,E,88188262,88193814,5553,38887260,38992052,104793,1,No,2,26,1
79588640,43612032,-,+,Intrachromosomal,No,No,GG-GG,NonCanonicalPattern,13,12,S,S,79550549,79686348,135800,43572517,43625799,53283,1,No,32,19,1
127771745,127702940,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,2,5,E,S,127771212,127790526,19315,127641902,127706514,64613,1,No,12,5,1
125527987,133058130,-,-,Intrachromosomal,Yes,No,AG-AG,NonCanonicalPattern,6,3,S,E,125500749,125551311,50563,133036467,133071627,35161,1,No,12,14,1
37516692,34796044,+,+,Intrachromosomal,Yes,No,GT-GT,NonCanonicalPattern,9,3,E,S,37379412,37752774,373363,34656433,34832717,176285,1,No,18,17,1
98795746,74072717,+,+,Interchromosomal,Yes,No,GT-GG,NonCanonicalPattern,1,2,E,S,98795434,99102023,306590,74070892,74073573,2682,1,No,3,2,1
28605587,141696793,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,10,27,E,E,28410133,28703099,292967,141668501,142011332,342832,1,No,12,32,1
63101667,60679801,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,10,5,E,E,62901013,63273622,372610,60678302,60780633,102332,1,No,23,5,1
354304,1576797,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,5,20,S,E,337440,402464,65025,1560428,1662109,101682,1,No,10,31,1
2969120,1115764,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,13,5,E,S,2844841,3019315,174475,1093906,1148426,54521,1,No,28,8,1
34930021,14181713,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,1,3,E,E,34929698,34959069,29372,13947373,15095792,1148420,1,No,13,8,1
67490392,67819757,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,9,2,E,E,66974125,67648525,674401,67804589,67826591,22003,1,No,22,9,1
11998801,55214834,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,1,4,E,E,11998670,12025366,26697,55199325,55277734,78410,1,No,5,9,1
31193985,59335577,+,+,Interchromosomal,Yes,No,GT-GG,NonCanonicalPattern,3,2,E,S,31191453,31203100,11648,59330252,59343488,13237,1,No,15,9,1
56262563,55133456,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,1,6,E,S,56262090,56292342,30253,55095264,55164412,69149,1,No,6,23,1
47393605,38206034,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,10,2,E,S,47158549,47569726,411178,38203955,38212904,8950,1,No,13,9,1
49545188,43882374,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,2,2,S,E,49506883,49547527,40645,43880879,43883206,2328,1,No,5,4,1
179467453,175109712,-,+,Intrachromosomal,No,No,GG-GC,NonCanonicalPattern,2,1,S,S,179382474,179499109,116636,175085040,175113245,28206,1,No,9,1,1
11637459,91146879,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,2,8,E,E,11627172,11644854,17683,91006932,91282761,275830,1,No,4,20,1
35627642,25965289,-,+,Intrachromosomal,No,No,GG-GG,NonCanonicalPattern,14,2,S,S,35441927,35766902,324976,25958174,25976586,18413,1,No,60,10,1
100603521,96011243,-,+,Interchromosomal,No,No,GG-GC,NonCanonicalPattern,1,2,S,S,100600650,100603687,3038,95997941,96110387,112447,1,No,2,30,1
65871860,68692224,+,+,Interchromosomal,Yes,No,GT-GA,NonCanonicalPattern,5,15,E,S,65821780,65980494,158715,68665124,68710628,45505,1,No,30,18,1
17585276,17716310,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,3,4,E,S,17550599,17588652,38054,17680593,17716515,35923,1,No,4,4,1
162276768,162251589,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,5,10,E,S,162272620,162281573,8954,162164786,162268226,103441,1,No,6,12,1
73815090,38433814,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,6,17,E,E,73331835,73905580,573746,38423305,38671020,247716,1,No,14,20,1
31675003,45564424,-,+,Intrachromosomal,No,No,CG-GA,NonCanonicalPattern,2,2,S,S,31569324,31676689,107366,45553302,45584804,31503,1,No,43,14,1
35626135,61874089,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,1,26,E,E,35535953,35860848,324896,61788159,62149488,361330,1,No,10,44,1
145317869,68725001,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,2,2,E,E,145316126,145442879,126754,68688346,68726161,37816,1,No,10,3,1
187524057,186696520,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,20,2,S,E,187508937,187644987,136051,186506598,186877870,371273,1,No,27,21,1
17979907,4245511,-,+,Intrachromosomal,No,No,GG-GC,NonCanonicalPattern,1,36,S,S,17830385,17980131,149747,3341080,4308632,967553,1,No,26,45,1
54157621,74063411,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,2,3,E,E,54156693,55108584,951892,74035191,74068607,33417,1,No,38,16,1
64387766,176665238,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,6,8,S,S,64373646,64490660,117015,176560080,176727214,167135,2,Yes,7,24,1
44487151,44109646,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,2,S,E,44165730,44487429,321700,44096733,44116951,20219,1,No,14,9,1
67943609,67858486,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,2,6,E,S,67927175,67963581,36407,67841010,67861971,20962,1,No,3,16,1
102267896,149406269,-,+,Interchromosomal,No,No,GG-GA,NonCanonicalPattern,1,8,S,S,101944587,102268628,324042,149380296,149432692,52397,2,Yes,12,20,1
110008139,33232677,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,2,13,E,E,109964087,110042566,78480,33218049,33239662,21614,1,No,6,20,1
73038276,73142779,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,3,5,S,E,73034955,73043074,8120,73131343,73150775,19433,1,No,6,6,1
69832640,70056742,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,3,3,S,E,69681656,69835103,153448,70042417,70092684,50268,1,No,25,9,1
42129723,35406810,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,2,2,E,S,42128829,42189965,61137,35092975,35652181,559207,1,No,22,17,1
38209551,28030080,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,3,3,S,E,38175350,38210889,35540,27952965,28257018,304054,1,No,25,15,1
107762146,32395410,-,-,Interchromosomal,Yes,No,AT-AG,NonCanonicalPattern,10,11,M,E,107761941,107809935,47995,32354456,32444844,90389,1,No,10,20,1
80545995,80293722,-,+,Intrachromosomal,No,No,GG-GT,NonCanonicalPattern,2,7,S,S,80371854,80548667,176814,80231504,80308593,77090,1,No,18,15,1
73795193,74103458,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,11,2,E,S,73703805,73820273,116469,74072030,74175022,102993,1,No,17,34,1
42365281,42314003,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,3,4,E,S,42363988,42375484,11497,42300534,42315591,15058,1,No,6,7,1
64545834,61300596,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,1,4,S,E,64532078,64546241,14164,61282785,61348298,65514,1,No,2,9,1
11531101,23297744,-,+,Intrachromosomal,No,No,GG-GA,NonCanonicalPattern,9,16,S,S,11502509,11653679,151171,23216954,23326514,109561,2,Yes,14,19,1
45303707,70020412,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,10,21,E,E,45281126,45303903,22778,70010200,70099851,89652,1,No,11,26,1
2933367,140037149,+,-,Interchromosomal,No,Yes,GT-AG,CanonicalPattern,1,11,E,E,2933196,2949383,16188,140033552,140098311,64760,1,No,4,12,1
31033056,30802331,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,1,3,E,S,31031793,31043862,12070,30792933,30821278,28346,1,No,2,12,1
156588571,116827780,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,2,2,E,E,156587862,156658214,70353,116714118,116968993,254876,1,No,11,24,1
125442465,125359718,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,2,2,E,E,125439298,125454575,15278,125315648,125366123,50476,1,No,11,2,1
146273485,4860125,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,3,9,S,S,146205943,146285233,79291,4792834,4861064,68231,1,No,30,9,1
71094407,54747200,-,-,Interchromosomal,Yes,No,GG-AG,NonCanonicalPattern,18,5,S,E,70841289,71264569,423281,54692195,54872092,179898,1,No,20,17,1
71977568,72083786,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,4,4,S,E,71962586,71993190,30605,72058729,72142382,83654,1,No,11,5,1
23111569,33161645,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,3,2,E,E,23037331,23241823,204493,33145507,33168361,22855,1,No,16,5,1
2497300,1731300,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,1,2,E,E,2496923,2588909,91987,1682829,1733175,50347,1,No,11,11,1
45506254,45641772,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,2,2,E,S,45504712,45541452,36741,45596431,45649730,53300,1,No,12,13,1
28075665,27631492,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,7,15,E,S,28052490,28089426,36937,27561007,27635110,74104,1,No,10,16,1
14640523,14677745,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,1,2,E,E,14640382,14676792,36411,14676890,14682886,5997,1,No,13,3,1
61655656,114900943,+,+,Interchromosomal,Yes,No,GT-GT,NonCanonicalPattern,2,5,E,S,61591339,61779465,188127,114710009,114926073,216065,1,No,38,14,1
74262050,76870001,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,2,2,E,E,74261286,74267379,6094,76849059,76921472,72414,1,No,3,5,1
28807542,27835671,+,+,Intrachromosomal,Yes,No,GT-GA,NonCanonicalPattern,2,2,E,S,28605681,29974017,1368337,27826125,27840763,14639,1,No,11,3,1
104721449,105239752,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,10,8,E,E,104609559,104744062,134504,105197275,105322472,125198,1,No,14,10,1
64152338,37570602,+,+,Interchromosomal,Yes,No,GT-GG,NonCanonicalPattern,6,2,E,S,64126511,64171404,44894,37554955,37581703,26749,1,No,7,4,1
110230168,110391039,-,-,Intrachromosomal,Yes,No,GG-AG,NonCanonicalPattern,11,14,S,E,110220894,110271212,50319,110367607,110434194,66588,2,Yes,15,19,1
190232008,189526061,+,+,Intrachromosomal,Yes,No,GT-GC,NonCanonicalPattern,1,4,E,S,190231891,190369301,137411,189349216,189615068,265853,1,No,9,11,1
35787108,26449629,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,4,2,E,S,35767312,35837226,69915,26369688,26523407,153720,1,No,11,11,1
45814162,17528440,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,2,3,S,S,45774676,45815002,40327,17516788,17528727,11940,1,No,8,3,1
76357517,149959696,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,7,1,E,M,76311622,76427997,116376,149916172,149959728,43557,1,No,24,10,1
202098835,206547815,+,+,Intrachromosomal,Yes,No,GT-GG,NonCanonicalPattern,2,1,E,M,202098166,202152434,54269,206547224,206662857,115634,1,No,10,17,1
14518761,14664645,+,-,Intrachromosomal,No,No,GT-AG,CanonicalPattern,1,7,E,E,14518611,14651697,133087,14656597,14720791,64195,1,No,15,11,1
172560211,28476601,+,+,Interchromosomal,Yes,No,GT-GT,NonCanonicalPattern,19,3,E,S,172502260,172580973,78714,28431987,28566633,134647,1,No,24,9,1
76566753,74494623,-,-,Intrachromosomal,Yes,No,AG-AG,NonCanonicalPattern,9,2,S,E,76508628,76603810,95183,74471807,74501371,29565,1,No,12,19,1
29664600,69556930,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,42,15,E,E,29421995,29704695,282701,69546905,69614382,67478,1,No,57,19,1
43044305,66053776,+,-,Interchromosomal,No,No,GT-AG,CanonicalPattern,1,2,E,E,43044029,43129457,85429,65952954,66084631,131678,1,No,19,33,1
34628611,89627986,-,+,Interchromosomal,No,No,GG-GG,NonCanonicalPattern,1,3,S,S,34522197,34630265,108069,89627090,89629848,2759,1,No,24,5,1
184588593,40318178,+,+,Interchromosomal,Yes,No,GT-GG,NonCanonicalPattern,21,33,E,S,184529931,184770402,240472,40226347,40327797,101451,1,No,48,39,1
